,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4873,0.0,0.0,0.0,0.0,9.0,148.33333330000002,0.04,0.057999999999999996,0.0,0.0,6.0,3.0,2.0,6.0,3.0,1.0,0.0,False
13332,2.601098595096078,14.63117959741544,0.0,0.0,15.0,290.8447743168328,0.0,0.016244010900812123,56.92053435142817,0.0,5.34972535122598,2.3497253512259806,2.0,2.699450702451961,3.3497253512259806,0.3497253512259805,0.6502746487740195,True
5772,4.0,158.2,0.0,0.0,62.0,4402.25,0.0,0.001041667,246.7585902,0.0,8.0,4.0,1.0,8.0,2.0,0.0,0.0,False
8801,0.0,0.0,0.0,0.0,8.0,1066.25,0.0,0.028571429,9.084767800000002,0.0,7.0,1.0,8.0,4.0,11.0,1.0,1.0,True
2537,6.0,140.0,1.0,12.0,52.0,723.315873,0.001212121,0.006277056,4.504381818,0.0,6.0,3.0,2.0,4.0,11.0,1.0,0.0,False
4703,0.0,0.0,0.0,0.0,24.0,409.30303030000005,0.008333333,0.023611111,0.0,0.6,6.0,3.0,2.0,3.0,3.0,1.0,0.0,False
663,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.1,0.0,0.0,5.0,1.0,1.0,8.0,3.0,1.0,0.0,False
15483,3.6244263428901564,86.08425342608106,9.030532928612695,329.2684120565493,61.78626949971113,2729.6137664716407,0.006712864935642273,0.028262177546752656,8.713796257742166,0.0,5.0,2.0,3.781680242832383,2.0,4.969467071387305,1.0,0.4061065857225391,True
3192,0.0,0.0,0.0,0.0,4.0,72.66666667,0.0,0.083333333,0.0,0.4,6.0,2.0,2.0,3.0,4.0,1.0,0.0,False
3017,0.0,0.0,0.0,0.0,7.0,220.33333330000002,0.0,0.01,0.0,0.0,6.0,2.0,2.0,1.0,5.0,0.0,0.0,False
8917,0.0,0.0,0.0,0.0,200.0,6867.193847,0.006408856,0.024587384,0.0,0.0,7.0,2.0,2.0,1.0,2.0,1.0,0.0,False
1159,1.0,7.0,0.0,0.0,14.0,183.33333330000002,0.0,0.006666666999999999,0.0,0.0,5.0,2.0,2.0,3.0,10.0,1.0,0.0,False
13969,0.2249255853353832,0.8997023413415328,0.0,0.0,10.32522324399385,243.1603360766158,0.004498511706707664,0.024498511706707665,16.001197314367495,0.0,2.7994046826830656,2.0,8.6504464879877,5.6504464879877006,1.775074414664617,1.0,0.7750744146646168,True
2550,0.0,0.0,0.0,0.0,41.0,2213.0,0.004545455,0.031060606,0.0,0.2,6.0,2.0,2.0,5.0,4.0,1.0,0.0,False
3399,1.0,63.0,0.0,0.0,9.0,265.25,0.0,0.004,0.0,0.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,False
5643,4.0,61.63333333,0.0,0.0,33.0,1804.011111,0.0,0.005022447,41.64590199,0.0,7.0,2.0,2.0,2.0,2.0,1.0,0.0,True
2207,0.0,0.0,0.0,0.0,9.0,2081.0,0.04444444400000001,0.1,0.0,0.0,6.0,2.0,5.0,2.0,1.0,1.0,0.0,False
7910,0.0,0.0,2.0,15.2,19.0,1227.153333,0.00952381,0.04399093,0.0,0.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,False
1277,11.0,1640.590909,0.0,0.0,16.0,1849.8333329999998,0.0,0.013636364,10.78136364,0.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,False
8462,0.0,0.0,0.0,0.0,49.0,1385.85,0.0,0.013265306000000001,0.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,False
9195,2.0,67.5,0.0,0.0,11.0,294.0,0.0,0.009090909,0.0,0.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,False
1840,3.0,18.75,0.0,0.0,7.0,68.75,0.0,0.025,0.0,0.0,5.0,2.0,2.0,5.0,2.0,0.0,0.0,False
887,3.0,106.75,0.0,0.0,5.0,137.33333330000002,0.0,0.005,0.0,0.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,False
10128,1.0,21.0,0.0,0.0,31.0,1998.25,0.01010101,0.037373737000000004,0.0,0.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,False
4046,3.0,37.0,1.0,9.0,17.0,1075.7130949999998,0.011111111000000002,0.034920635,0.0,0.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,False
3291,5.0,423.5,2.0,111.5,6.0,91.5,0.05,0.055555556,0.0,0.2,6.0,2.0,2.0,4.0,6.0,1.0,0.0,False
8130,0.0,0.0,1.0,41.5,98.0,2400.037843,0.000183655,0.011646771,0.0,0.0,7.0,2.0,2.0,1.0,2.0,1.0,0.0,True
8503,0.0,0.0,0.0,0.0,3.0,32.5,0.066666667,0.133333333,0.0,0.0,1.0,2.0,2.0,9.0,3.0,1.0,1.0,False
6407,6.0,432.2,0.0,0.0,30.0,363.677619,0.003030303,0.014018978,12.1958841,0.0,8.0,1.0,1.0,3.0,2.0,1.0,0.0,True
12604,0.0,0.0,0.4125698543456049,9.076536795603307,75.71312868911045,2283.3769440434667,0.0096936577384554,0.018507035882693056,1.8669607534389947,0.0,7.0,3.0,2.0,1.0,2.0,1.0,0.4125698543456049,True
9972,0.0,0.0,0.0,0.0,5.0,77.5,0.1,0.08,0.0,0.0,7.0,3.0,2.0,4.0,11.0,1.0,1.0,False
15141,1.5615181940662046,8.588350067364125,0.0,0.0,13.97316812670208,346.3798614521577,0.0015385326831699351,0.019556050246952367,10.756580955110229,0.0,6.438481805933796,1.0,1.0,3.0,2.780759097033102,1.0,0.7807590970331023,True
10449,2.0,11.0,0.0,0.0,132.0,4424.916667,0.00610687,0.020093774,14.99601118,0.0,7.0,2.0,2.0,4.0,1.0,1.0,0.0,True
7227,5.0,260.1,0.0,0.0,17.0,341.6166667,0.0,0.00627451,0.0,0.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,False
20730,2.7971546036435546,27.272257385524657,0.0,0.0,33.14945724601986,1732.4025621204062,0.0,0.005609643536845411,16.212478932535753,0.0,1.4056907927128908,2.067615132118815,3.86476973576237,3.067615132118815,2.6085361890693353,0.06761513211881509,0.06761513211881509,True
1788,0.0,0.0,0.0,0.0,12.0,130.5,0.0,0.008333333,0.0,0.0,5.0,2.0,2.0,1.0,10.0,1.0,0.0,False
19943,0.0,0.0,0.0,0.0,9.238310245583598,402.67813578285484,0.0,0.015351576298830601,278.4706474531913,0.0,4.314027705299682,2.0,3.1046759017665604,1.0,5.314027705299682,0.0,0.0,True
20702,4.087974597282925,93.05593774713188,0.08797459728292534,6.177771721289588,293.4691978521756,12265.017616029289,0.002977083283508576,0.015726070233569582,2.1013269568268695,0.0,7.0,2.0,2.0,1.0,2.0,1.0,0.02932486576097515,True
13874,0.0,0.0,0.0,0.0,12.590108825351662,894.5624760430991,0.0034157596521057587,0.015164852714102693,20.17662691253243,0.2459347047890028,6.0,2.0,3.229673523945014,3.95054412675831,3.229673523945014,0.409891174648338,0.590108825351662,True
19129,1.949248488304633,34.00355696048166,3.5989979844061772,68.3656061038079,19.8477454649139,544.4102956355296,0.0007219438123628831,0.035256362462842715,22.067604555791455,0.07005010077969114,6.0,3.2994989922030884,2.050751511695367,1.0,3.2994989922030884,0.6497494961015443,0.0,True
12899,3.2484475024740833,80.33913251731857,0.0,0.0,1.7515524975259165,14.920492967342097,0.0,0.02331263328350528,0.0,0.0,4.490685014844502,2.7515524975259167,2.496895004948167,2.503104995051833,2.745342507422251,0.0,0.7515524975259165,True
99,0.0,0.0,0.0,0.0,16.0,644.2,0.004166667,0.031666667,0.0,0.0,2.0,3.0,2.0,3.0,4.0,1.0,0.0,False
13672,0.0,0.0,0.06854922637656802,1.5080829802844953,39.06854922637657,1264.153944931233,0.005205103179403103,0.008123653279543617,0.0,0.0,7.0,2.8629015472468637,1.9314507736234319,2.479844584635976,9.451606188987455,1.0,0.06854922637656802,True
5615,5.0,56.8,0.0,0.0,3.0,27.2,0.0,0.033333333,0.0,0.0,7.0,2.0,2.0,6.0,2.0,0.0,0.0,False
197,3.0,112.96078429999999,0.0,0.0,13.0,3014.018519,0.013068182,0.06140625,0.0,0.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,False
6121,0.0,0.0,3.0,541.0,32.0,776.9232515,0.0011764710000000001,0.013779093000000001,0.0,0.0,7.0,1.0,1.0,3.0,20.0,1.0,0.0,False
6252,1.0,21.2,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,8.0,1.0,1.0,1.0,5.0,1.0,0.0,False
10199,0.0,0.0,0.0,0.0,20.0,1245.57619,0.0,0.005263158,0.0,0.0,7.0,3.0,2.0,1.0,3.0,1.0,0.0,False
11574,0.0,0.0,0.0,0.0,9.0,436.0,0.0,0.022222222000000003,0.0,0.0,7.0,2.0,2.0,3.0,2.0,1.0,0.0,False
4035,3.0,99.0,0.0,0.0,23.0,831.6904762,0.004166667,0.019444443999999998,0.0,0.0,6.0,3.0,2.0,4.0,13.0,1.0,0.0,False
4528,0.0,0.0,0.0,0.0,44.0,831.6083332999999,0.0,0.013178295,0.0,0.0,6.0,2.0,2.0,2.0,2.0,1.0,0.0,False
2608,9.0,118.0,2.0,10.0,16.0,401.95,0.004761905,0.013015873,0.0,0.0,6.0,1.0,1.0,1.0,3.0,1.0,0.0,False
10262,6.0,446.2380952,3.0,94.0,23.0,866.7071429,0.007142857,0.020522573,6.7869589370000005,0.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,False
4993,3.0,156.8,4.0,262.75,12.0,350.42539680000004,0.002614379,0.041356389,0.0,0.4,6.0,3.0,2.0,1.0,4.0,1.0,0.0,False
3593,1.0,45.0,0.0,0.0,8.0,183.0,0.0,0.011111111000000002,0.0,0.0,6.0,1.0,1.0,1.0,4.0,1.0,0.0,False
632,4.0,185.0,0.0,0.0,40.0,1694.75,0.020512821,0.031196581,0.0,0.0,5.0,2.0,2.0,6.0,1.0,1.0,0.0,False
8201,0.0,0.0,0.0,0.0,7.0,611.0833332999999,0.0,0.016666667,0.0,0.0,1.0,3.0,2.0,6.0,8.0,0.0,0.0,False
11520,0.0,0.0,0.0,0.0,14.0,599.5833332999999,0.0,0.016326531000000002,0.0,0.0,7.0,2.0,2.0,1.0,20.0,1.0,0.0,False
19030,1.2086029024470344,31.734368865978677,0.0,0.0,48.817916886133474,1829.9640306069973,0.0,0.009964044255278227,51.31225996451338,0.0,1.4172058048940688,2.0,3.8609313983686437,2.930465699184322,7.582794195105931,1.0,0.0,True
11831,12.0,246.252381,2.0,56.5,102.0,4264.419078,0.007783883,0.019834499,0.0,0.0,7.0,3.0,2.0,1.0,10.0,1.0,1.0,False
6968,0.0,0.0,2.0,5.0,13.0,354.28333330000004,0.035294118,0.037647059,68.75226072,0.0,9.0,3.0,2.0,4.0,4.0,1.0,1.0,False
18076,3.0,35.62685163603676,0.0,0.0,10.66015394235972,285.7735116419948,0.005571061930579424,0.021014030916444305,32.995132171569345,0.0,3.2200513141199067,2.0,2.0,4.899743429400465,1.8802052564796279,0.779948685880093,0.0,True
3846,1.0,20.5,1.0,13.0,57.0,1518.9036939999999,0.0,0.022947455,13.40247586,0.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,False
2001,4.0,73.75,1.0,58.0,12.0,777.5,0.0,0.015555556000000002,10.782,0.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,True
520,0.0,0.0,0.0,0.0,2.0,68.5,0.0,0.033333333,0.0,0.0,5.0,3.0,2.0,1.0,10.0,1.0,0.0,False
12417,6.156270813793048,164.34953764536414,0.0,0.0,52.030854537932086,1718.2696417158586,0.0,0.005920148768288601,21.077234808917147,0.0,1.6250832551721928,1.8437291862069518,1.8437291862069518,1.0,3.2501665103443855,0.1562708137930482,0.0,True
783,4.0,15.0,1.0,17.0,17.0,490.0,0.0,0.027272727000000004,15.66445171,0.0,5.0,2.0,2.0,4.0,10.0,1.0,0.0,True
8120,5.0,46.5,0.0,0.0,3.0,26.0,0.0,0.028571429,0.0,0.0,7.0,2.0,2.0,1.0,2.0,1.0,0.0,True
1567,0.0,0.0,0.0,0.0,3.0,48.0,0.0,0.033333333,0.0,0.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,False
7259,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,False
10686,0.0,0.0,0.0,0.0,9.0,608.75,0.0,0.025,42.422531,0.0,1.0,2.0,2.0,9.0,2.0,1.0,0.0,True
6611,0.0,0.0,0.0,0.0,5.0,44.8,0.0,0.033333333,50.36347405,0.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,True
20721,3.6887513247792016,102.72850370938176,0.8443756623896007,22.967018016997137,34.55933856857196,2611.9568624145977,0.00038425765446999105,0.0039317060388434615,39.88454187714337,0.0,6.066253974337604,2.0,5.221878311948004,1.0,2.0,1.0,0.8443756623896007,True
7935,8.0,410.9,5.0,406.9,24.0,1220.257143,0.011764706000000002,0.024215686,8.887671892,0.0,8.0,3.0,2.0,2.0,2.0,1.0,0.0,True
11592,4.0,30.75,0.0,0.0,47.0,1477.394841,0.004166667,0.021527777999999997,0.0,0.0,7.0,1.0,5.0,1.0,2.0,1.0,0.0,False
11471,0.0,0.0,0.0,0.0,30.0,1285.166667,0.0027586209999999997,0.022660099,0.0,0.0,7.0,3.0,3.0,1.0,8.0,1.0,1.0,False
9634,7.0,146.7,5.0,195.0,42.0,1717.6666670000002,0.001960784,0.029981326000000003,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,False
701,5.0,175.23076919999997,0.0,0.0,20.0,2224.85,0.004347826,0.023913043,0.0,0.0,5.0,4.0,2.0,8.0,1.0,1.0,0.0,False
11535,1.0,7.0,4.0,364.9166667,248.0,7445.957075,0.0043160690000000005,0.015735624,1.26665917,0.0,7.0,2.0,2.0,1.0,2.0,1.0,0.0,True
16065,1.9631066684710086,43.76784748512425,1.0368933315289914,40.28297602209849,56.11456004330421,851.0397184700504,0.00021081904784947436,0.00868526800066407,3.0439407079522933,0.0,5.110679994586974,2.0,4.036893331528992,2.926213336942017,1.0,1.0,1.0,True
10948,0.0,0.0,0.0,0.0,15.0,489.70833330000005,0.0,0.003846154,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,False
13217,7.925307963128959,236.4441906960946,1.985061592625792,140.19252155549776,70.73110866726425,2512.708487399005,0.006254358974269233,0.02534903260899036,0.7914131999844329,0.0,6.940246370503168,2.985061592625792,2.0,1.1195072589936652,2.029876814748416,1.0,0.9850615926257918,True
13212,0.8604227076450973,6.022958953515682,3.4416908305803893,89.26885591817884,97.60422707645097,3511.9830800628442,0.006499702029552454,0.019623275777987056,0.0,0.0,7.0,2.279154584709805,2.0,1.0,7.022958953515682,1.0,0.13957729235490268,True
8054,0.0,0.0,0.0,0.0,70.0,1473.701515,0.008695652,0.032370527999999996,0.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,0.0,False
3867,0.0,0.0,0.0,0.0,26.0,3242.0,0.005555556,0.031388888999999996,0.0,0.0,6.0,4.0,1.0,4.0,6.0,1.0,1.0,False
17857,0.3098865814085685,4.958185302537096,0.0,0.0,20.788979232677114,1252.669298518612,0.0,0.005575647506718703,31.91897642268094,0.0,7.070340255774294,2.0,2.0,3.0,1.6901134185914315,1.0,0.6901134185914315,True
5870,0.0,0.0,0.0,0.0,25.0,334.3833333,0.0,0.008333333,0.0,0.0,9.0,2.0,2.0,3.0,4.0,1.0,0.0,False
20076,9.786686024135838,318.14276495535927,0.0,0.0,20.303328493966042,603.016503795792,0.0,0.007996650824449864,31.815913691515064,0.1393343012067919,6.0,2.0,7.573372048271676,1.3033284939660406,3.786686024135838,0.30332849396604045,0.0,True
2803,0.0,0.0,0.0,0.0,14.0,342.5,0.0,0.021428571,0.0,0.0,6.0,2.0,2.0,8.0,4.0,1.0,0.0,False
1158,0.0,0.0,0.0,0.0,11.0,315.6,0.0,0.018181818,0.0,0.0,5.0,1.0,1.0,6.0,3.0,1.0,1.0,False
15557,11.168135888900311,145.66182455333808,0.8613559814833852,0.0,208.04712253718742,7051.48442849722,0.003331173792961352,0.01493401641043064,13.07639300534874,0.0,7.0,2.0,2.0,1.2772880370332296,2.6637282221993774,1.0,0.0,True
17626,4.836798783873917,58.17910106322117,3.0816006080630416,120.72077370127344,154.041585406487,5181.958106706602,0.0016660043685332803,0.01063726723039486,18.836038911919236,0.0,7.0,2.0,2.0,6.755198175810875,1.0816006080630416,1.0,0.0816006080630417,True
14696,0.0,0.0,0.0,0.0,42.36350286763478,898.1933616763281,0.007670936206289118,0.030538508564002167,8.605996075179522,0.0,6.920437858454347,2.079562141545653,3.840875716908694,1.079562141545653,9.443065009180428,1.0,0.0,True
1731,3.0,275.0,1.0,29.5,30.0,1107.047619,0.0,0.017760943,35.98106601,0.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,True
18215,0.8209543238309553,0.0,0.0,0.0,3.537137028507134,65.11726261255322,0.005115590824420851,0.046163307015968616,108.4918431747903,0.0,8.0,1.8209543238309553,1.8209543238309553,8.104771619154777,2.0,0.8209543238309553,0.8209543238309553,True
15267,1.0197548990309486,7.648161742732115,0.0,0.0,19.98024510096905,520.4522171239882,0.019120404356830285,0.028953465992474024,22.29289453954175,0.0,7.0,2.0197548990309486,1.5098774495154743,1.9802451009690514,8.0,1.0,0.0,True
2659,2.0,77.0,0.0,0.0,32.0,1223.416667,0.0,0.010784314,215.00941180000004,0.0,6.0,3.0,2.0,4.0,2.0,1.0,0.0,True
1029,1.0,37.0,0.0,0.0,12.0,663.5,0.0,0.016666667,10.83431037,0.0,5.0,3.0,2.0,6.0,8.0,0.0,0.0,True
2490,2.0,90.0,0.0,0.0,22.0,650.6666667000001,0.026086957,0.045217390999999996,0.0,0.0,6.0,2.0,2.0,4.0,1.0,1.0,0.0,False
8799,0.0,0.0,0.0,0.0,12.0,892.0833332999998,0.016666667,0.045833333,0.0,0.0,1.0,2.0,2.0,6.0,2.0,0.0,0.0,False
18357,1.5168874526848626,15.959768442451606,0.0,0.0,7.033774905369725,139.1493376419454,0.0,0.009769946636094005,7.67897806105797,0.0,1.4493376419454127,2.5168874526848626,5.8649003785211,1.966225094630275,2.0,0.48311254731513753,0.48311254731513753,True
471,0.0,0.0,0.0,0.0,9.0,1040.0,0.07777777799999999,0.11666666699999999,0.0,0.0,5.0,2.0,4.0,3.0,1.0,1.0,0.0,False
8729,4.0,378.75,1.0,0.0,15.0,638.9166667000001,0.010526316,0.031578947,0.0,0.0,7.0,2.0,2.0,1.0,2.0,0.0,0.0,True
15559,0.22325120598490011,3.1701671249855816,0.0,0.0,17.3395072359094,850.3249773524202,0.010356650327951734,0.029556463708877274,52.995386622290255,0.0,2.3395072359094007,1.4465024119698002,1.2232512059849001,6.1069951760603995,2.0,0.0,0.22325120598490011,True
17385,1.0,0.4026940074562547,2.5973059925437454,69.26149313449987,129.83232808947506,3825.8838224407928,0.01933722707271731,0.03624093060238472,0.8675366235315444,0.0,3.5369253432750063,1.0,1.0,1.0,2.8657686641812483,1.0,0.0,True
4766,1.0,2.0,0.0,0.0,27.0,463.83333330000005,0.040740741000000004,0.06753086400000001,0.0,0.0,6.0,3.0,2.0,2.0,4.0,1.0,0.0,False
5766,2.0,68.6,0.0,0.0,10.0,279.7666667,0.0,0.033333333,0.0,0.0,8.0,1.0,2.0,7.0,4.0,0.0,0.0,False
20666,0.0,0.0,0.0,0.0,13.144864548626794,726.9941619566074,0.0,0.024351054608547848,31.610997080781555,0.0,4.840540342891746,2.768108068578349,2.0,7.072432274313397,3.304324205735048,1.0,0.23189193142165077,True
15530,1.0,54.3207265988621,0.2629541242888137,4.7331742371986465,30.055688135667793,428.3677379993953,0.0,0.007201297155913391,32.34446597175339,0.0,8.474091751422373,1.2629541242888136,2.051816497155255,1.7370458757111864,4.10363299431051,0.7370458757111863,0.0,True
3641,0.0,0.0,0.0,0.0,17.0,212.83333330000002,0.041176471,0.06764705900000001,0.0,0.4,6.0,1.0,1.0,4.0,3.0,1.0,0.0,False
11195,0.0,0.0,0.0,0.0,6.0,172.20833330000002,0.033333333,0.04444444400000001,0.0,0.0,1.0,3.0,2.0,6.0,2.0,0.0,0.0,True
5947,1.0,6.0,0.0,0.0,21.0,332.8,0.0,0.008695652,0.0,0.0,9.0,2.0,5.0,4.0,5.0,1.0,1.0,False
10012,5.0,97.83333333,0.0,0.0,15.0,489.0,0.0,0.00625,81.334441,0.0,1.0,8.0,13.0,9.0,20.0,0.0,0.0,True
566,0.0,0.0,0.0,0.0,5.0,53.0,0.04,0.08,0.0,0.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,False
9434,1.0,42.5,2.0,54.5,47.0,3954.95,0.006,0.023714286,0.0,0.0,7.0,2.0,2.0,1.0,2.0,1.0,0.0,False
8,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,2.0,2.0,2.0,2.0,3.0,1.0,0.0,False
2827,7.0,65.83333333,0.0,0.0,7.0,156.83333330000002,0.0,0.02,0.0,0.0,6.0,2.0,4.0,1.0,2.0,1.0,0.0,False
18680,7.917334420206739,250.45691900995863,0.7293336050516848,0.0,54.5493458323775,1043.832955162366,0.017627733337107664,0.024202290370572147,11.428673627405747,0.0,7.4586672101033695,3.0,2.2706663949483152,1.0,10.564002445465164,1.0,0.0,True
15427,10.194958468178292,169.85778251826574,5.799439829797588,1117.2597789313686,122.38711608534453,3253.3062839421136,0.007678801781124886,0.01578151380989793,27.37666011666747,0.0,7.0,2.598879659595176,1.0,1.4011203404048238,3.604481361619295,1.0,0.7994398297975881,True
16110,12.033240842505524,715.7381104286309,2.0,97.66297635919489,38.04986126375829,791.2283700546222,0.009530816449244648,0.01344539661063454,10.492498804764521,0.0,6.491689789373619,2.508310210626381,2.0,5.475069368120856,3.0166204212527625,1.0,0.5083102106263813,True
8500,1.0,32.5,0.0,0.0,4.0,73.5,0.0,0.04,0.0,0.0,7.0,2.0,2.0,1.0,2.0,0.0,0.0,False
8840,6.0,179.75,2.0,8.0,64.0,1876.3333329999998,0.007246376999999999,0.014251208000000001,16.68711526,0.0,1.0,2.0,5.0,9.0,2.0,1.0,0.0,False
17459,0.4169416218575108,0.0,0.0,0.0,5.915291890712446,247.9218908152927,0.0,0.033336475928253714,54.30973928667224,0.11661167562849784,6.833883243715022,2.0,2.0,2.1661167562849784,2.8338832437150216,0.4169416218575108,0.0,True
10510,0.0,0.0,0.0,0.0,28.0,912.4348484999999,0.0,0.026839827,0.0,0.0,7.0,2.0,2.0,7.0,2.0,1.0,1.0,False
11370,2.0,34.91666667,1.0,33.5,21.0,496.48214289999993,0.008695652,0.025120773,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,False
1508,0.0,0.0,0.0,0.0,17.0,504.0,0.0,0.02125,33.32796813,0.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,False
16905,2.0,80.74624375740807,0.0,0.0,14.8358858502398,341.11925683696046,0.0,0.007512602048909726,23.932997116345323,0.0,5.776076099840133,2.805980975039967,1.5970095124800165,1.8059809750399667,1.5970095124800165,0.40299048751998334,1.0,True
6691,2.0,46.4,0.0,0.0,8.0,349.0,0.02,0.08,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,False
1470,6.0,143.16666669999998,0.0,0.0,50.0,925.9476189999999,0.0,0.010160428,13.60512012,0.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,True
18670,0.0,0.0,0.0,0.0,14.662940386109515,292.1823010437255,0.0,0.006303592375836818,54.54352266299255,0.0,6.033705961389049,2.9662940386109513,2.0,3.9662940386109513,3.9325880772219026,1.0,0.0,True
5290,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,6.0,1.0,1.0,3.0,3.0,1.0,0.0,False
16846,10.566998961476608,941.1306097163863,3.5937985460672515,146.87512389537326,60.214396676725144,3257.592442656214,0.0070254710851253566,0.015562168763454995,53.41663027945137,0.0,3.91960124622807,1.4866002077046785,1.4866002077046785,1.9732004154093568,7.3526022847514625,1.0,0.0,True
11875,0.0,0.0,0.0,0.0,4.0,137.5,0.0,0.066666667,0.0,0.0,7.0,2.0,2.0,2.0,11.0,1.0,0.0,False
961,2.0,33.0,0.0,0.0,9.0,354.0,0.0,0.02,0.0,0.0,5.0,3.0,2.0,1.0,3.0,0.0,0.0,False
9842,0.0,0.0,0.0,0.0,38.0,907.9432539999999,0.0,0.005405405,23.664587100000002,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,True
15681,0.9336994890048622,8.40329540104376,0.0,0.0,14.060808175922205,859.822315924554,0.013338563861869606,0.04985412336448558,0.0,0.0,7.0,1.0663005109951378,1.0663005109951378,5.933699489004862,10.40329540104376,1.0,0.06630051099513778,True
8571,1.0,0.0,0.0,0.0,59.0,2334.105159,0.018421053,0.042076023,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,False
2523,0.0,0.0,0.0,0.0,3.0,55.0,0.04444444400000001,0.111111111,0.0,0.0,6.0,3.0,5.0,1.0,3.0,1.0,0.0,False
