Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend;Revenue
4.0;64.6;0.0;0.0;32.0;1.135.444.444;0.002857143;0.00952381;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;76.0;0.05;0.1;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;63.0;0.0;0.05;0.0;0.2;2.0;2.0;6.0;1.0;3.0;2.0;0.0;False
1.0;6.0;1.0;0.0;45.0;1582.75;0.043478261;0.050821255999999995;5.417.976.426;0.4;2.0;3.0;2.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;35.0;0.0;0.1;0.0;0.0;2.0;1.0;1.0;6.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;78.0;0.0;0.066666667;0.0;0.0;2.0;1.0;2.0;6.0;6.0;2.0;1.0;False
0.0;0.0;0.0;0.0;8.0;209.5;0.0;0.025;0.0;0.0;2.0;2.0;2.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;10.0;18.366.666.669.999.900;0.04;0.08;0.0;0.0;2.0;1.0;1.0;3.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;14.0;380.5;0.014285714;0.028571429;0.0;0.0;2.0;2.0;2.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;52.0;2.086.242.857;0.015384615;0.020352564;0.0;0.0;2.0;2.0;2.0;7.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;8.0;388.0;0.025;0.05625;0.0;0.0;2.0;3.0;2.0;1.0;4.0;2.0;1.0;False
2.0;18.0;0.0;0.0;5.0;298.0;0.0;0.028571429;0.0;0.8;2.0;2.0;2.0;8.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;7.0;63.0;0.028571429;0.071428571;0.0;0.6;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;9.0;482.0;0.0;0.022222222000000003;0.0;0.0;2.0;2.0;5.0;1.0;6.0;2.0;0.0;False
1.0;9.0;0.0;0.0;46.0;4.084.393.939;0.0;0.001794872;0.0;0.0;2.0;2.0;2.0;8.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;22.0;0.0;0.066666667;0.0;0.6;2.0;1.0;1.0;3.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;15.0;3.101.666.667;0.0;0.006666666999999999;0.0;0.0;2.0;1.0;1.0;4.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;34.0;0.0;0.05;0.0;0.4;2.0;3.0;2.0;2.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;88.0;0.0;0.05;0.0;0.0;2.0;4.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;22.0;622.25;0.003030303;0.006060606;0.0;0.2;2.0;2.0;5.0;1.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;14.0;222.4;0.017142857;0.057142857000000005;0.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;80.0;0.066666667;0.133333333;0.0;0.2;2.0;3.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;11.0;8.008.333.332.999.990;0.0;0.0036363640000000004;0.0;0.0;2.0;3.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.6;2.0;2.0;2.0;3.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;3.0;4.0;2.0;1.0;False
0.0;0.0;0.0;0.0;12.0;2.651.666.667;0.011111111000000002;0.026111111;0.0;0.2;2.0;3.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;29.0;0.0;0.1;0.0;1.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;False
0.0;0.0;0.0;0.0;4.0;160.0;0.0;0.075;0.0;0.0;2.0;4.0;2.0;2.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;13.566.666.669.999.900;0.05;0.025;0.0;0.4;2.0;3.0;3.0;1.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.2;2.0;2.0;4.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.6;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
4.0;56.0;2.0;120.0;36.0;9.987.416.667.000.000;0.0;0.014736467;1.944.707.913;0.2;2.0;2.0;2.0;4.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;104.0;0.0;0.05;0.0;0.4;2.0;2.0;6.0;6.0;3.0;2.0;0.0;False
2.0;16.0;0.0;0.0;16.0;3.816.865.079;0.011764706000000002;0.046568627;0.0;0.6;2.0;2.0;4.0;2.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;169.0;0.0;0.016666667;0.0;0.4;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;8.0;400.8;0.05;0.120833333;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
12.0;2.794.166.667;0.0;0.0;42.0;1.553.583.333;0.009000000000000001;0.019666667;3.830.849.268;0.0;2.0;1.0;1.0;3.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;14.0;706.5;0.0;0.007142857;0.0;0.0;2.0;2.0;2.0;5.0;4.0;2.0;1.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;2.0;2.0;4.0;3.0;2.0;0.0;False
3.0;8.783.333.333;0.0;0.0;27.0;7.983.333.332.999.990;0.0;0.012643678;229.160.357;0.8;2.0;2.0;2.0;3.0;1.0;2.0;0.0;True
4.0;44.0;0.0;0.0;90.0;6.951.972.222;0.002150538;0.015013034;0.0;0.0;2.0;4.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.6;2.0;2.0;2.0;5.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;18.0;902.0;0.0;0.0074074069999999995;0.0;0.0;2.0;2.0;7.0;2.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.2;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;2.0;6.0;1.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;20.0;19.737.777.780.000.000;0.025;0.0525;0.0;0.0;2.0;2.0;6.0;6.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;43.0;0.0;0.1;0.0;0.4;2.0;2.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;8.0;42.666.666.669.999.900;0.0;0.0125;0.0;0.0;2.0;2.0;4.0;3.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;135.0;0.0;0.066666667;0.0;0.0;2.0;2.0;4.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;16.0;5.883.333.332.999.990;0.0;0.025;0.0;0.0;2.0;2.0;4.0;1.0;1.0;2.0;0.0;False
10.0;1.005.666.667;0.0;0.0;36.0;2.111.341.667;0.004347826;0.014492753999999998;1.143.941.195;0.0;2.0;2.0;6.0;1.0;2.0;2.0;0.0;True
0.0;0.0;0.0;0.0;2.0;76.0;0.0;0.05;0.0;0.6;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;1.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.4;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;7.0;208.0;0.0;0.028571429;0.0;0.0;2.0;4.0;1.0;1.0;5.0;2.0;1.0;False
0.0;0.0;0.0;0.0;4.0;270.0;0.0;0.016666667;0.0;0.8;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;39.5;0.0;0.02;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;12.0;375.0;0.016666667;0.058333333;0.0;0.0;2.0;3.0;2.0;4.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.8;2.0;2.0;2.0;2.0;1.0;2.0;1.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;7.0;150.0;0.057142857000000005;0.085714286;0.0;0.0;2.0;2.0;2.0;2.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;138.0;0.0;0.066666667;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;7.0;337.5;0.028571429;0.023809524;0.0;0.4;2.0;4.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;19.0;6.200.333.333;0.0;0.007894736999999999;0.0;0.0;2.0;1.0;1.0;4.0;2.0;2.0;0.0;False
2.0;36.0;0.0;0.0;15.0;16.884.615.380.000.000;0.0;0.011764706000000002;0.0;0.4;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;False
0.0;0.0;0.0;0.0;2.0;52.0;0.0;0.1;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;13.0;649.25;0.0;0.015384615;0.0;0.0;2.0;2.0;2.0;1.0;5.0;0.0;0.0;False
0.0;0.0;0.0;0.0;27.0;9.253.333.332.999.990;0.0037037040000000004;0.025925926000000002;0.0;0.6;2.0;4.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;33.0;0.0;0.1;0.0;0.2;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;1566.5;0.05;0.066666667;0.0;0.2;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;105.0;0.0;0.025;0.0;0.6;2.0;1.0;1.0;1.0;4.0;2.0;0.0;False
0.0;0.0;1.0;0.0;7.0;50.0;0.038095238;0.08095238099999999;0.0;0.6;2.0;2.0;4.0;1.0;7.0;2.0;0.0;False
0.0;0.0;0.0;0.0;16.0;644.2;0.004166667;0.031666667;0.0;0.0;2.0;3.0;2.0;3.0;4.0;2.0;0.0;False
3.0;1.833.333.333;0.0;0.0;38.0;2.635.177.778;0.0;0.008947368;0.0;0.4;2.0;2.0;4.0;1.0;2.0;2.0;0.0;False
4.0;61.0;0.0;0.0;19.0;607.0;0.0;0.026984127000000004;1.753.595.893;1.0;2.0;1.0;1.0;7.0;4.0;2.0;1.0;True
0.0;0.0;0.0;0.0;6.0;415.0;0.0;0.033333333;0.0;0.4;2.0;1.0;1.0;3.0;2.0;2.0;0.0;False
2.0;31.0;1.0;16.0;36.0;2.083.530.952;0.0;0.01351025;0.0;0.8;2.0;2.0;2.0;4.0;3.0;2.0;0.0;False
3.0;58.5;0.0;0.0;17.0;2.816.666.667;0.007058824;0.017647059;0.0;0.0;2.0;1.0;1.0;3.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;27.0;0.15;0.15;0.0;0.0;2.0;1.0;1.0;7.0;2.0;2.0;0.0;False
0.0;0.0;1.0;0.0;9.0;215.0;0.04444444400000001;0.074074074;0.0;0.8;2.0;4.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;12.0;162.0;0.05;0.066666667;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;114.0;0.05;0.066666667;0.0;0.8;2.0;3.0;3.0;1.0;3.0;2.0;0.0;False
6.0;326.25;4.0;94.0;128.0;5.062.213.753;0.000854701;0.01791847;0.0;0.0;2.0;2.0;5.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;253.0;0.0;0.016666667;0.0;0.6;2.0;2.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;0.0;0.2;0.2;0.0;0.4;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.8;2.0;1.0;1.0;2.0;3.0;2.0;0.0;False
2.0;22.0;0.0;0.0;25.0;436.5;0.008;0.024;0.0;0.2;2.0;2.0;4.0;1.0;1.0;2.0;0.0;False
0.0;0.0;1.0;93.0;30.0;1.045.833.333;0.012903226;0.035483871;0.0;0.2;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;12.0;3.178.333.333;0.0;0.005555556;0.0;0.0;2.0;1.0;1.0;1.0;4.0;2.0;1.0;False
0.0;0.0;0.0;0.0;21.0;1.146.333.333;0.0;0.012962963000000001;0.0;0.8;2.0;3.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;11.0;577.0;0.018181818;0.027272727000000004;0.0;0.2;2.0;2.0;2.0;3.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;8.0;95.0;0.0;0.075;0.0;0.0;2.0;4.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;301.5;0.0;0.111111111;0.0;0.0;2.0;2.0;4.0;9.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;243.0;0.0;0.033333333;0.0;0.0;2.0;2.0;4.0;4.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;135.5;0.0;0.05;0.0;0.6;2.0;2.0;2.0;1.0;2.0;2.0;0.0;False
0.0;0.0;2.0;75.0;14.0;44.233.333.330.000.000;0.0;0.034375;0.0;0.8;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;41.0;0.0;0.066666667;0.0;0.0;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;11.0;292.9;0.027999999999999997;0.11952381;0.0;0.0;2.0;2.0;4.0;3.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;9.0;1.238.333.333;0.0;0.040740741000000004;0.0;0.4;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;10.0;2.254.666.667;0.0;0.05;0.0;0.4;2.0;1.0;1.0;8.0;3.0;2.0;0.0;False
4.0;462.0;0.0;0.0;51.0;18.732.166.670.000.000;0.0;0.00754717;0.0;0.6;2.0;2.0;2.0;9.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;13.0;0.133333333;0.166666667;0.0;0.0;2.0;2.0;4.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;222.0;0.0;0.1;0.0;0.0;2.0;2.0;6.0;1.0;2.0;2.0;1.0;False
2.0;20.0;0.0;0.0;16.0;21.483.333.330.000.000;0.0;0.022222222000000003;0.0;0.0;2.0;2.0;2.0;1.0;6.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;20.171.666.670.000.000;0.0;0.011111111000000002;0.0;0.8;2.0;2.0;2.0;4.0;3.0;2.0;0.0;False
6.0;111.5;0.0;0.0;26.0;44.902.777.779.999.900;0.0;0.018518519;0.0;0.6;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;15.816.666.669.999.900;0.0;0.033333333;0.0;0.0;2.0;3.0;2.0;4.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;9.0;3.036.666.667;0.005555556;0.046296295999999994;0.0;0.0;2.0;2.0;4.0;5.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;25.0;0.0;0.066666667;0.0;0.0;2.0;2.0;4.0;1.0;5.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;42.0;0.05;0.15;0.0;0.4;2.0;2.0;2.0;1.0;4.0;2.0;0.0;False
4.0;103.625;0.0;0.0;14.0;1.003.416.667;0.0;0.018039216;0.0;0.2;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;2.0;2.0;7.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;9.0;272.5;0.0;0.011851852;0.0;0.2;2.0;1.0;1.0;6.0;3.0;2.0;0.0;False
3.0;19.0;0.0;0.0;8.0;344.0;0.0;0.0074074069999999995;0.0;0.0;2.0;2.0;4.0;2.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;2.0;2.0;2.0;3.0;2.0;0.0;False
0.0;0.0;1.0;19.0;10.0;852.0;0.0;0.009090909;0.0;0.0;2.0;2.0;2.0;3.0;6.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;780.0;0.066666667;0.066666667;0.0;0.4;2.0;2.0;4.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;1038.0;0.0;0.033333333;0.0;0.0;2.0;2.0;2.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;573.0;0.0;0.05;0.0;0.0;2.0;2.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;28.0;1.231.233.333;0.007142857;0.030357143;0.0;0.0;2.0;1.0;1.0;4.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;11.0;3.166.666.667;0.0;0.027272727000000004;0.0;0.8;2.0;2.0;2.0;2.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;20.0;8.737.365.079;0.0075;0.028166667000000003;0.0;0.0;2.0;1.0;2.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.4;2.0;2.0;2.0;3.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;4.0;16.0;0.1;0.15;0.0;0.0;2.0;2.0;5.0;5.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;19.0;615.0;0.0;0.026315789;0.0;0.2;2.0;2.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;9.0;261.75;0.0;0.026666667;0.0;0.0;2.0;2.0;6.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;21.0;6.158.831.169;0.033333333;0.04993081;0.0;0.0;2.0;3.0;2.0;2.0;1.0;2.0;1.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;False
0.0;0.0;0.0;0.0;6.0;117.5;0.0;0.033333333;0.0;0.8;2.0;1.0;1.0;1.0;3.0;2.0;1.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;23.0;50.166.666.669.999.900;0.008695652;0.01884058;0.0;0.6;2.0;1.0;1.0;4.0;2.0;2.0;0.0;False
2.0;58.0;2.0;22.0;31.0;8.291.666.667.000.000;0.03030303;0.040606061;0.0;0.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;False
1.0;9.5;0.0;0.0;23.0;1223.0;0.015217391;0.012463768;0.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;False
0.0;0.0;0.0;0.0;6.0;467.0;0.0;0.016666667;0.0;0.4;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;23.0;7.371.666.667.000.000;0.008695652;0.011594203;0.0;0.6;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;12.0;129.0;0.0;0.033333333;0.0;0.0;2.0;1.0;1.0;3.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;5.0;63.0;0.0;0.04;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;5.0;125.0;0.08666666699999999;0.166666667;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;11.0;6.843.333.332.999.990;0.018181818;0.063636364;0.0;0.0;2.0;2.0;4.0;6.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;20.0;6.654.722.222;0.0;0.0145;0.0;0.8;2.0;3.0;2.0;7.0;4.0;2.0;1.0;False
1.0;0.0;0.0;0.0;15.0;487.5;0.0;0.019166667;0.0;0.8;2.0;1.0;1.0;2.0;4.0;2.0;1.0;False
0.0;0.0;0.0;0.0;17.0;43.716.666.669.999.900;0.011111111000000002;0.033333333;0.0;0.0;2.0;2.0;4.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;55.0;0.066666667;0.1;0.0;0.6;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.8;2.0;1.0;1.0;1.0;2.0;2.0;1.0;False
5.0;41.3;0.0;0.0;24.0;4.469.277.778;0.0;0.008602151;0.0;1.0;2.0;2.0;2.0;8.0;1.0;2.0;1.0;False
3.0;87.0;0.0;0.0;10.0;320.5;0.0;0.015384615;0.0;0.0;2.0;1.0;1.0;2.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;7.0;666.0;0.0;0.014285714;0.0;0.0;2.0;1.0;1.0;6.0;2.0;2.0;0.0;False
1.0;0.0;0.0;0.0;21.0;4.057.095.238;0.010743802;0.047002635;0.0;0.0;2.0;1.0;1.0;1.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;163.25;0.033333333;0.033333333;0.0;0.6;2.0;1.0;1.0;6.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;17.0;284.25;0.0;0.011764706000000002;0.0;0.0;2.0;3.0;2.0;6.0;2.0;2.0;1.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.6;2.0;4.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;2.0;4.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;8.0;260.0;0.008333333;0.025;0.0;0.8;2.0;3.0;2.0;1.0;3.0;2.0;1.0;False
0.0;0.0;16.0;12.103.976.189.999.900;5.0;27.985.714.289.999.900;0.003174603;0.012764201999999999;0.0;0.0;5.0;2.0;2.0;1.0;8.0;2.0;0.0;False
